customer_id,gender,is_senior_citizen,partner,dependents,phone_service,phone_service_desc,internet_service,service_type,internet_service_desc,contract_type,contract_type_desc,payment_type,monthly_charges,total_charges,tenure_in_months,tenure_full_months,avg_monthly_charges,charges_match,churn,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents
0023-UYUPN,Female,1,Yes,No,2,Two or More Lines,0,Phone Only,No Internet Service,1,1 Year,Electronic check,25.2,1306.3,51.83730159,51,$25.20,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,1
0023-XUOPT,Female,0,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,94.1,1215.6,12.91817216,12,$94.10,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1
0027-KWYKW,Female,0,Yes,Yes,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,83.75,1849.95,22.08895522,22,$83.75,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3
0030-FNXPP,Female,0,No,No,1,One Line,0,Phone Only,No Internet Service,0,Month-to-Month,Mailed check,19.85,57.2,2.881612091,2,$19.85,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,0
0031-PVLZI,Female,0,Yes,Yes,1,One Line,0,Phone Only,No Internet Service,0,Month-to-Month,Mailed check,20.35,76.35,3.751842752,3,$20.35,TRUE,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,3
0032-PGELS,Female,0,Yes,Yes,0,No Phone Service,1,Internet Only,DSL,0,Month-to-Month,Bank transfer (automatic),30.5,30.5,1,1,$30.50,TRUE,Yes,TRUE,TRUE,FALSE,TRUE,FALSE,3
0036-IHMOT,Female,0,Yes,Yes,1,One Line,2,Phone & Internet,Fiber Optic,1,1 Year,Bank transfer (automatic),103.7,5656.75,54.54918033,54,$103.70,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3
0040-HALCW,Male,0,Yes,Yes,1,One Line,0,Phone Only,No Internet Service,2,2 Year,Credit card (automatic),20.4,1090.6,53.46078431,53,$20.40,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,3
0042-JVWOJ,Male,0,No,No,1,One Line,0,Phone Only,No Internet Service,1,1 Year,Bank transfer (automatic),19.6,471.85,24.07397959,24,$19.60,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,0
0042-RLHYP,Female,0,Yes,Yes,1,One Line,0,Phone Only,No Internet Service,2,2 Year,Bank transfer (automatic),19.7,1396.9,70.90862944,70,$19.70,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,3
0048-LUMLS,Male,0,Yes,Yes,1,One Line,2,Phone & Internet,Fiber Optic,1,1 Year,Credit card (automatic),91.2,3247.55,35.60910088,35,$91.20,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3
0048-PIHNL,Female,0,Yes,No,1,One Line,0,Phone Only,No Internet Service,1,1 Year,Bank transfer (automatic),20.45,900.9,44.05378973,44,$20.45,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,1
0052-DCKON,Male,0,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,1,1 Year,Bank transfer (automatic),115.8,7942.15,68.58506045,68,$115.80,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1
0052-YNYOT,Female,0,No,No,1,One Line,0,Phone Only,No Internet Service,1,1 Year,Electronic check,20.55,1343.4,65.37226277,65,$20.55,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,0
0056-EPFBG,Male,0,Yes,Yes,0,No Phone Service,1,Internet Only,DSL,2,2 Year,Credit card (automatic),39.4,825.4,20.94923858,20,$39.40,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,3
0057-QBUQH,Female,0,No,Yes,2,Two or More Lines,0,Phone Only,No Internet Service,2,2 Year,Electronic check,25.1,1070.15,42.63545817,42,$25.10,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,2
0058-EVZWM,Female,0,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),89.8,4959.6,55.22939866,55,$89.80,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1
0060-FUALY,Female,0,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,94.75,5597.65,59.07810026,59,$94.75,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1
0064-SUDOG,Female,0,Yes,Yes,1,One Line,0,Phone Only,No Internet Service,2,2 Year,Bank transfer (automatic),20.3,224.5,11.0591133,11,$20.30,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,3
0064-YIJGF,Male,0,Yes,Yes,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),75.75,1929,25.46534653,25,$75.75,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3
0067-DKWBL,Male,1,No,No,1,One Line,1,Phone & Internet,DSL,0,Month-to-Month,Electronic check,49.25,91.1,1.849746193,1,$49.25,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0
0068-FIGTF,Female,0,No,No,1,One Line,1,Phone & Internet,DSL,1,1 Year,Mailed check,78.2,2078.95,26.58503836,26,$78.20,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0071-NDAFP,Male,0,Yes,Yes,2,Two or More Lines,0,Phone Only,No Internet Service,2,2 Year,Credit card (automatic),25.5,630.6,24.72941176,24,$25.50,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,3
0074-HDKDG,Male,0,Yes,Yes,1,One Line,1,Phone & Internet,DSL,1,1 Year,Bank transfer (automatic),61.6,1611,26.1525974,26,$61.60,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3
0076-LVEPS,Male,0,No,Yes,0,No Phone Service,1,Internet Only,DSL,0,Month-to-Month,Mailed check,45,1242.45,27.61,27,$45.00,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,2
0078-XZMHT,Male,0,Yes,No,2,Two or More Lines,1,Phone & Internet,DSL,2,2 Year,Bank transfer (automatic),85.15,6316.2,74.17733412,74,$85.15,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1
0080-EMYVY,Female,0,No,No,1,One Line,1,Phone & Internet,DSL,1,1 Year,Credit card (automatic),51.45,727.85,14.14674441,14,$51.45,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0080-OROZO,Female,0,No,No,1,One Line,2,Phone & Internet,Fiber Optic,1,1 Year,Electronic check,99.25,3532,35.58690176,35,$99.25,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0082-LDZUE,Male,0,No,No,1,One Line,1,Phone & Internet,DSL,0,Month-to-Month,Mailed check,44.3,44.3,1,1,$44.30,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0
0082-OQIQY,Male,0,No,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,94.2,2607.6,27.68152866,27,$94.20,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0
0083-PIVIK,Male,0,No,No,2,Two or More Lines,1,Phone & Internet,DSL,1,1 Year,Electronic check,81.25,5567.55,68.52369231,68,$81.25,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0
0089-IIQKO,Female,0,Yes,Yes,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Credit card (automatic),99.95,3767.4,37.69284642,37,$99.95,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3
0093-EXYQL,Female,1,No,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,91.55,3673.6,40.12670672,40,$91.55,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0093-XWZFY,Male,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Credit card (automatic),104.5,4036.85,38.63014354,38,$104.50,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0
0094-OIFMO,Female,1,No,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,95,1120.3,11.79263158,11,$95.00,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0
0096-BXERS,Female,0,Yes,No,2,Two or More Lines,1,Phone & Internet,DSL,0,Month-to-Month,Electronic check,50.35,314.55,6.247269116,6,$50.35,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1
0096-FCPUF,Male,0,No,No,2,Two or More Lines,1,Phone & Internet,DSL,0,Month-to-Month,Mailed check,64.5,1888.45,29.27829457,29,$64.50,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0
0098-BOWSO,Male,0,No,No,1,One Line,0,Phone Only,No Internet Service,0,Month-to-Month,Electronic check,19.4,529.8,27.30927835,27,$19.40,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,0
0100-DUVFC,Male,1,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,1,1 Year,Electronic check,104.8,7308.95,69.74188931,69,$104.80,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1
0103-CSITQ,Female,0,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,1,1 Year,Bank transfer (automatic),109.4,6252.7,57.15447898,57,$109.40,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1
0104-PPXDV,Male,0,Yes,No,1,One Line,1,Phone & Internet,DSL,1,1 Year,Credit card (automatic),50.3,2878.55,57.22763419,57,$50.30,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1
0106-GHRQR,Male,0,No,No,2,Two or More Lines,1,Phone & Internet,DSL,0,Month-to-Month,Bank transfer (automatic),71.4,1212.1,16.97619048,16,$71.40,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0
0106-UGRDO,Female,0,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,2,2 Year,Electronic check,116,8182.85,70.54181034,70,$116.00,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1
0107-WESLM,Male,0,No,No,1,One Line,0,Phone Only,No Internet Service,0,Month-to-Month,Electronic check,19.85,19.85,1,1,$19.85,TRUE,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,0
0107-YHINA,Male,0,No,Yes,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,99.75,99.75,1,1,$99.75,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,2
0111-KLBQG,Male,1,Yes,Yes,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Mailed check,93.95,2861.45,30.45715806,30,$93.95,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3
0112-QAWRZ,Male,0,Yes,Yes,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),90.8,1442.2,15.88325991,15,$90.80,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3
0112-QWPNC,Male,0,Yes,No,2,Two or More Lines,1,Phone & Internet,DSL,1,1 Year,Electronic check,84.35,4059.35,48.1250741,48,$84.35,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1
0114-IGABW,Female,0,Yes,No,0,No Phone Service,1,Internet Only,DSL,2,2 Year,Bank transfer (automatic),58.25,4145.9,71.17424893,71,$58.25,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,1
0114-PEGZZ,Female,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,107.55,3645.5,33.89586239,33,$107.55,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0114-RSRRW,Female,0,Yes,No,1,One Line,0,Phone Only,No Internet Service,0,Month-to-Month,Bank transfer (automatic),19.95,187.75,9.411027569,9,$19.95,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,1
0115-TFERT,Male,0,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,111.2,2317.1,20.83723022,20,$111.20,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1
0117-LFRMW,Male,0,Yes,Yes,0,No Phone Service,1,Internet Only,DSL,0,Month-to-Month,Bank transfer (automatic),40.2,1448.8,36.039801,36,$40.20,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,3
0118-JPNOY,Female,1,No,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Credit card (automatic),85.8,2193.65,25.56701632,25,$85.80,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0121-SNYRK,Male,0,No,No,0,No Phone Service,1,Internet Only,DSL,1,1 Year,Mailed check,35.4,1748.9,49.4039548,49,$35.40,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,0
0122-OAHPZ,Female,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,73.85,511.25,6.92281652,6,$73.85,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0
0123-CRBRT,Female,0,Yes,Yes,2,Two or More Lines,1,Phone & Internet,DSL,2,2 Year,Mailed check,88.1,5526.75,62.73269012,62,$88.10,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3
0125-LZQXK,Male,0,No,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,101.35,1553.95,15.3325111,15,$101.35,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0
0128-MKWSG,Female,0,No,Yes,0,No Phone Service,1,Internet Only,DSL,0,Month-to-Month,Mailed check,45.8,1147,25.04366812,25,$45.80,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,2
0129-KPTWJ,Male,0,Yes,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,94.65,6747.35,71.28737454,71,$94.65,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1
0129-QMPDR,Male,0,Yes,Yes,1,One Line,0,Phone Only,No Internet Service,1,1 Year,Bank transfer (automatic),20.5,865.05,42.19756098,42,$20.50,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,3
0130-SXOUN,Male,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Credit card (automatic),89.4,5976.9,66.8557047,66,$89.40,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0
0133-BMFZO,Female,0,No,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,86.25,181.65,2.106086957,2,$86.25,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0
0134-XWXCE,Female,1,No,No,1,One Line,1,Phone & Internet,DSL,1,1 Year,Bank transfer (automatic),74.85,3268.05,43.66132265,43,$74.85,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0135-NMXAP,Female,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),89.75,1052.4,11.72590529,11,$89.75,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0
0136-IFMYD,Male,1,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,2,2 Year,Electronic check,109.95,7634.25,69.43383356,69,$109.95,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1
0137-OCGAB,Female,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Mailed check,80.2,80.2,1,1,$80.20,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0
0137-UDEUO,Female,0,No,No,1,One Line,0,Phone Only,No Internet Service,0,Month-to-Month,Mailed check,19.85,63.75,3.211586902,3,$19.85,TRUE,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,0
0139-IVFJG,Female,0,Yes,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,90.35,190.5,2.108467072,2,$90.35,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1
0141-YEAYS,Female,1,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),86.45,2401.05,27.77385772,27,$86.45,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0142-GVYSN,Male,0,No,No,1,One Line,0,Phone Only,No Internet Service,0,Month-to-Month,Electronic check,20.3,511.25,25.18472906,25,$20.30,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,0
0147-ESWWR,Female,1,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,101.25,3949.15,39.00395062,39,$101.25,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1
0148-DCDOS,Male,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),94.7,2362.1,24.94297782,24,$94.70,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0
0151-ONTOV,Female,0,No,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Mailed check,70.9,70.9,1,1,$70.90,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0
0156-FVPTA,Male,0,Yes,No,1,One Line,1,Phone & Internet,DSL,0,Month-to-Month,Electronic check,54.2,1152.7,21.26752768,21,$54.20,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1
0164-APGRB,Female,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,2,2 Year,Electronic check,114.9,8496.7,73.948651,73,$114.90,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0164-XAIRP,Female,0,No,No,1,One Line,0,Phone Only,No Internet Service,2,2 Year,Bank transfer (automatic),19.55,470.2,24.0511509,24,$19.55,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,0
0168-XZKBB,Female,0,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,86.85,1564.4,18.01266552,18,$86.85,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1
0174-QRVVY,Male,0,Yes,Yes,2,Two or More Lines,0,Phone Only,No Internet Service,2,2 Year,Credit card (automatic),25.35,1847.55,72.8816568,72,$25.35,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,3
0177-PXBAT,Male,1,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),109.9,3694.7,33.61874431,33,$109.90,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1
0178-CIIKR,Female,0,No,No,1,One Line,0,Phone Only,No Internet Service,0,Month-to-Month,Mailed check,19.95,58,2.90726817,2,$19.95,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,0
0178-SZBHO,Male,0,Yes,Yes,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,87.2,4017.45,46.07167431,46,$87.20,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3
0181-RITDD,Male,0,Yes,Yes,1,One Line,2,Phone & Internet,Fiber Optic,2,2 Year,Mailed check,108.15,6825.65,63.11280629,63,$108.15,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3
0186-CAERR,Male,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,1,1 Year,Bank transfer (automatic),116.3,8309.55,71.44926913,71,$116.30,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0
0187-QSXOE,Male,1,Yes,No,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,89,605.45,6.802808989,6,$89.00,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1
0187-WZNAB,Female,0,Yes,Yes,1,One Line,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Mailed check,74.4,1972.35,26.51008065,26,$74.40,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3
0188-GWFLE,Male,0,No,No,1,One Line,0,Phone Only,No Internet Service,0,Month-to-Month,Mailed check,20.05,33.7,1.680798005,1,$20.05,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,0
0191-EQUUH,Female,0,No,Yes,0,No Phone Service,1,Internet Only,DSL,2,2 Year,Bank transfer (automatic),35.05,844.45,24.09272468,24,$35.05,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,2
0191-ZHSKZ,Male,1,No,No,1,One Line,1,Phone & Internet,DSL,0,Month-to-Month,Electronic check,74.75,2111.3,28.24481605,28,$74.75,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0
0193-ESZXP,Female,1,Yes,No,1,One Line,2,Phone & Internet,Fiber Optic,1,1 Year,Credit card (automatic),105.5,6205.5,58.81990521,58,$105.50,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1
0195-IESCP,Male,0,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,85.25,855.3,10.03284457,10,$85.25,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1
0196-JTUQI,Female,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Credit card (automatic),75.2,633.85,8.428856383,8,$75.20,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0196-VULGZ,Female,1,Yes,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,0,Month-to-Month,Electronic check,84.35,474.9,5.630112626,5,$84.35,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1
0197-PNKNK,Female,0,Yes,Yes,2,Two or More Lines,2,Phone & Internet,Fiber Optic,1,1 Year,Bank transfer (automatic),84.45,5848.6,69.25518058,69,$84.45,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3
0201-MIBOL,Female,1,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,2,2 Year,Bank transfer (automatic),102.4,6471.85,63.20166016,63,$102.40,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0
0201-OAMXR,Female,0,No,No,2,Two or More Lines,2,Phone & Internet,Fiber Optic,1,1 Year,Credit card (automatic),115.55,8127.6,70.33838165,70,$115.55,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0
0203-HHYIJ,Male,0,No,No,2,Two or More Lines,0,Phone Only,No Internet Service,1,1 Year,Bank transfer (automatic),25.3,676.35,26.73320158,26,$25.30,TRUE,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,0
0206-OYVOC,Female,0,Yes,Yes,1,One Line,0,Phone Only,No Internet Service,2,2 Year,Mailed check,19.25,864.2,44.89350649,44,$19.25,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,3
